Aaron,0-039-711-4014,1129
Aaron,1-357-496-5040,2216
Aaron,1-633-691-0842,2816
Aaron,1-705-078-7184,2784
Aaron,1-811-527-0076,2704
Aaron,1-961-024-0051,4553
Aaron,2-113-123-0349,3864
Aaron,2-794-155-7228,2974
Aaron,3-191-954-0083,3606
Aaron,3-334-468-0696,3114
Aaron,3-666-239-4216,3060
Aaron,3-710-407-3698,4486
Aaron,4-235-657-0284,1224
Aaron,5-084-153-8581,4237
Aaron,5-389-026-2160,1535
Aaron,6-261-810-5859,444
Aaron,6-552-919-2933,1473
Aaron,6-990-409-1099,2318
Aaron,7-089-292-1293,355
Aaron,7-265-777-2151,3733
Aaron,7-753-076-6650,2507
Aaron,8-061-618-0730,1688
Aaron,8-175-707-4441,2931
Aaron,8-419-131-4872,4097
Aaron,9-016-512-6524,4183
Aaron,9-188-226-9229,2651
Aaron,9-255-154-4626,3440
Aaron,9-945-469-9127,101
Adam,0-161-541-5325,2302
Adam,0-168-724-9650,2274
Adam,0-196-619-6950,4693
Adam,0-993-057-3764,3142
Adam,1-974-395-5074,1686
Adam,4-900-188-0678,226
Adam,5-037-290-5155,894
Adam,5-096-755-0576,1998
Adam,5-198-628-5669,2089
Adam,5-455-324-6148,1379
Adam,5-836-770-1088,4983
Adam,5-926-852-4379,2535
Adam,5-984-337-5308,1952
Adam,6-312-614-0492,4339
Adam,6-553-338-8263,654
Adam,6-926-280-0843,539
Adam,7-575-528-2679,383
Adam,8-435-088-9048,469
Adam,8-498-763-0560,3862
Adam,8-824-339-0675,540
Adam,9-348-997-0389,4359
Alan,0-401-522-5217,1467
Alan,0-568-220-2665,2055
Alan,0-620-810-3318,4235
Alan,1-295-935-3399,4848
Alan,1-375-209-0276,373
Alan,1-440-068-7207,1615
Alan,1-521-881-3785,2898
Alan,1-627-642-8277,3658
Alan,1-993-397-7334,3167
Alan,2-361-769-3687,4072
Alan,3-048-340-5941,744
Alan,3-100-885-2973,1678
Alan,3-650-260-4696,2145
Alan,4-000-902-1566,3800
Alan,4-356-436-6067,2338
Alan,4-927-092-5006,3823
Alan,5-207-525-6291,1139
Alan,5-801-453-6557,2760
Alan,6-225-584-1058,4935
Alan,6-433-879-5678,1922
Alan,9-909-157-2152,3953
Albert,0-002-216-4778,4659
Albert,0-322-649-3506,170
Albert,0-767-432-1527,795
Albert,1-386-570-7188,975
Albert,1-408-528-2512,3884
Albert,1-637-197-2684,4060
Albert,1-669-308-7312,1035
Albert,1-686-396-7213,3370
Albert,2-250-279-7051,2523
Albert,2-544-450-2350,4845
Albert,2-664-186-8420,1613
Albert,2-876-597-7659,2010
Albert,3-021-617-2948,2219
Albert,3-021-733-0815,1410
Albert,3-163-686-5902,46
Albert,3-194-998-5548,4891
Albert,3-335-561-6335,3080
Albert,3-664-823-7369,120
Albert,4-002-111-2303,4925
Albert,4-816-630-2581,2869
Albert,4-887-372-1618,3520
Albert,5-047-953-6615,2025
Albert,5-319-354-8562,2173
Albert,5-461-234-3103,2862
Albert,5-829-803-8579,3599
Albert,6-009-119-4461,3067
Albert,6-116-140-6676,3774
Albert,6-381-815-4624,2665
Albert,6-885-313-2041,3480
Albert,6-996-674-5658,3632
Albert,7-411-206-3483,4700
Albert,7-898-596-2297,2922
Albert,8-625-692-4311,3691
Albert,8-715-636-0340,2484
Albert,9-061-033-1549,3438
Albert,9-631-688-9521,1723
Albert,9-711-505-3369,4253
Albert,9-752-513-6856,4325
Alice,0-155-711-6679,4337
Alice,0-290-736-0754,2126
Alice,0-412-456-5478,3996
Alice,1-163-479-7231,4362
Alice,1-341-141-5605,2141
